what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245033560120
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245033561770
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245033579088
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245033619970
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245033626270
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245033628648
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245033677911
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245033694022
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245033694891
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245033696330
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245033808815
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1245033835282
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1245033838227
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1245033838674
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.indent,1245033847309
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245033848400
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1245033866710
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1245033871246
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.format,1245033877532
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245033879015
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245033883523
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245033918757
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245033931615
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245033932075
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245033932244
