what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1245079878366
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.navigate.backwardHistory,1245079878382
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1245079878882
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1245079879163
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.navigate.backwardHistory,1245079879163
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1245079879366
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.navigate.forwardHistory,1245079879382
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1245079879600
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.navigate.forwardHistory,1245079879600
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.navigate.forwardHistory,1245079879788
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1245079880069
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.navigate.forwardHistory,1245079880069
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1245079880522
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.navigate.forwardHistory,1245079880522
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1245079880897
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.navigate.forwardHistory,1245079880897
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1245079972877
closed,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1245079972877
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1245079972908
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1245079973143
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245079975579
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245079987450
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.generate.javadoc,1245079987465
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1245079991167
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1245079992963
