what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244333075284
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244333075434
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244333090301
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244333090318
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1244333092836
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1244333098799
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1244333099517
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1244333103497
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1244333111016
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1244333112849
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244333113057
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244333113185
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244333119615
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244333129251
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244333129845
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244333213987
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244333215178
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244333220421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244333222793
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244333261126
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244333263508
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244333265123
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1244333280266
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244333281875
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244333371241
