what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1244573419033
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1244573445830
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244573460174
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244573463877
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244573465471
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244573465799
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244573467018
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244573467049
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244573492831
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244573492847
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244573494050
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244573494081
opened,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1244573494300
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1244573494394
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1244573494425
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244573496222
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244573497362
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244573498409
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244573502581
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1244573502597
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244573506800
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244573506831
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1244573506847
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1244573511894
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1244573578082
